Код,Номер распоряжения,Район,Адрес,Вид ограничения,Производитель работ,Инн подрядчика,Заказчик,Инн заказчика,Дата начала ограничения,Дата окончания ограничения
226867,719 -2015,центральный,"пр.чернышевского, от шпалерной ул. до воскресенской наб.",полное закрытие дв.,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,04.07.2015,05.07.2015
226880,722 -2015,пушкинский,"витебский пр., от московского шоссе до шушарской дороги",огранич.движения,ооо 'азк-стройинжиниринг',7806320898,ооо 'киришиавтосервис',7840016802,01.06.2015,30.08.2015
226881,707 -2015,красногвардейский,"шоссе революции, от среднеохтинского пр. до пр.металлистов",огранич.движения,ооо 'навигатор -сбс',7825466405,ооо 'петербурггаз',7838017541,06.06.2015,07.06.2015
226895,731 -2015,адмиралтейский,"наб.р.мойки, у фонарного пер.",огранич.движения,оао 'антикор',7842332602,ооо 'петербурггаз',7838017541,06.06.2015,07.06.2015
226896,732 -2015,адмиралтейский,"фонарный пер., от наб.р.мойки до пер.пирогова",огранич.движения,оао 'антикор',7842332602,ооо 'петербурггаз',7838017541,06.06.2015,07.06.2015
226904,736 -2015,московский,"московский пр., (четная сторона) от решетникова до д.148 по московскому пр.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,08.06.2015,15.06.2015
226905,737 -2015,московский,"московский пр., (боковой проезд четной стороны) от ул. решетникова до мариинской ул.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,08.06.2015,12.06.2015
226907,738 -2015,московский,"московский пр., (боковой проезд четной стороны) от мариинской ул. до ж/д рощинская",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,08.06.2015,12.06.2015
226915,697 -2015,московский,"г. санкт-петербург, перекресток московского пр. и киевской ул.",огранич.движения,ооо 'дск абз-дорстрой',7811424317,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,06.06.2015
226917,747 -2015,фрунзенский,"ул.димитрова, от софийской ул. до малой бухарестской ул.",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,05.06.2015,26.06.2015
226918,748 -2015,фрунзенский,"ул.димитрова, от софийской ул. до бухарестской ул.",закрытие одного напр,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,20.06.2015,28.06.2015
226919,749 -2015,фрунзенский,"г. санкт-петербург, перекресток ул. димитрова и малой бухарестской ул.",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,05.06.2015,28.06.2015
226920,750 -2015,фрунзенский,"ул.димитрова, от малой бухарестской ул. до софийской ул.",закрытие одного напр,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,14.06.2015
226921,751 -2015,фрунзенский,"малая бухарестская ул., в створе ул. димитрова",полное закрытие дв.,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,14.06.2015
226922,752 -2015,фрунзенский,"ул.димитрова, от бухарестской ул. до д.27 по ул. димитрова",огранич.движения,ооо 'ск 'гермес',7805507893,спб гку 'дирекция транспортного строительства',7825342390,06.06.2015,14.06.2015
226925,723 -2015,центральный,"новгородская ул., от дегтярного пер. до ул.моисеенко",огранич.движения,ооо 'нрк',7806525768,аиком россия сиэсди лимитед,9909375606,02.06.2015,15.10.2015
226927,724 -2015,центральный,"дегтярный пер., от новгородской ул. до д.28 по дегтярному пер.",огранич.движения,ооо 'нрк',7806525768,аиком россия сиэсди лимитед,9909375606,02.06.2015,15.10.2015
226928,709 -2015,кировский,"портовая ул., (боковой проезд) от кронштадтской ул. до автовской ул.",закрытие одного напр,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,04.06.2015,15.10.2015
226966,729 -2015,красносельский,"г. санкт-петербург, перекресток пр. ветеранов и ул. лётчика пилютова",огранич.движения,ооо мк-20сх,7802496989,спб гку 'дирекция транспортного строительства',7825342390,06.07.2015,19.07.2015
226971,730 -2015,красносельский,"пр.ветеранов, у ул. пограничника гарькавого",огранич.движения,ооо мк-20сх,7802496989,спб гку 'дирекция транспортного строительства',7825342390,27.07.2015,10.08.2015
227024,725 -2015,центральный,"ул.пестеля, от литейного пр. до ул.короленко",полное закрытие дв.,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,05.06.2015,01.10.2015
227025,726 -2015,центральный,"преображенская пл., от ул.короленко до пер.радищева",огранич.движения,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,05.06.2015,01.10.2015
227026,727 -2015,центральный,"ул.рылеева, от пер.радищева до ул.маяковского",полное закрытие дв.,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,05.06.2015,01.10.2015
227027,728 -2015,центральный,"г.санкт-петербург, перекресток ул.пестеля, ул.короленко и преображенской пл.",полное закрытие дв.,ооо 'мтэр санкт-петербург',7839450780,оао 'теплосеть санкт-петербурга',7810577007,15.06.2015,21.06.2015
227029,758 -2015,петроградский,"зоологический пер., от мытнинской наб. до пр. добролюбова",огранич.движения,ооо 'севзапдор',7810898339,спб гку 'дирекция транспортного строительства',7825342390,08.06.2015,12.06.2015
